index,va,p,m,d,longitude,latitude
3831,0.0,0.0,1.0,0.5,119,0.0
3835,0.0,0.0,1.0,0.5,120,0.0
3836,0.0,0.0,1.0,0.5,121,0.0
3891,0.0,-23.92443243521526,1.0,0.5,122,0.0
3892,0.0,2.0875389220932834,1.0,0.5,123,0.0
3893,0.0,14.25097250243294,1.0,0.5,124,0.0
3894,0.0,2.06763653830214,1.0,0.5,125,0.0
3895,0.0,14.25097250243294,1.0,0.5,126,0.0
3896,0.0,2.0875389220932834,1.0,0.5,127,0.0
3897,0.0,15.862689630684288,1.0,0.5,128,0.0
3901,0.0,-19.53282048288376,1.0,0.5,129,0.0
3902,0.0,-52.712594298441665,1.0,0.5,130,0.0
3903,0.0,-77.60299069815987,1.0,0.5,131,0.0
3904,0.0,-5.224578939412501e-17,1.0,0.5,132,0.0
3905,0.0,-5.224578939412501e-17,1.0,0.5,133,0.0
3906,0.0,-5.224578939412501e-17,1.0,0.5,134,0.0
3907,0.0,4.228304257847221,1.0,0.5,135,0.0
3908,0.0,5.075305255429287e-16,1.0,0.5,136,0.0
3909,0.0,5.075305255429287e-16,1.0,0.5,137,0.0
3910,0.0,5.075305255429287e-16,1.0,0.5,138,0.0
3911,0.0,5.075305255429287e-16,1.0,0.5,139,0.0
3912,0.0,5.075305255429287e-16,1.0,0.5,140,0.0
3913,0.0,5.075305255429287e-16,1.0,0.5,141,0.0
3914,0.0,-18.236405444665593,1.0,0.5,142,0.0
3915,0.0,-18.236405444665593,1.0,0.5,143,0.0
3916,0.0,5.075305255429287e-16,1.0,0.5,144,0.0
3917,0.0,4.174574629028116,1.0,0.5,145,0.0
3918,0.0,-5.275886736510054,1.0,0.5,146,0.0
3919,0.0,5.075305255429287e-16,1.0,0.5,147,0.0
3920,0.0,5.075305255429287e-16,1.0,0.5,148,0.0
3921,0.0,5.075305255429287e-16,1.0,0.5,149,0.0
3922,0.0,5.075305255429287e-16,1.0,0.5,150,0.0
3923,0.0,-66.25840933178891,1.0,0.5,151,0.0
3924,0.0,-84.943570422033,1.0,0.5,152,0.0
3925,0.0,16.95378012083109,1.0,0.5,153,0.0
3926,0.0,-14.326581864969993,1.0,0.5,154,0.0
3931,0.0,0.0,1.0,0.5,155,0.0
3932,0.0,0.0,1.0,0.5,156,0.0
3933,0.0,0.0,1.0,0.5,157,0.0
4001,0.0,-5.224578939412501e-17,1.0,0.5,158,0.0
4002,0.0,-5.224578939412501e-17,1.0,0.5,159,0.0
4003,0.0,-5.224578939412501e-17,1.0,0.5,160,0.0
4004,0.0,-5.224578939412501e-17,1.0,0.5,161,0.0
4005,0.0,-5.224578939412501e-17,1.0,0.5,162,0.0
4006,0.0,-5.224578939412501e-17,1.0,0.5,163,0.0
4007,0.0,-5.224578939412501e-17,1.0,0.5,164,0.0
4008,0.0,-7.401486830834377e-17,1.0,0.5,165,0.0
4009,0.0,0.0,1.0,0.5,166,0.0
4010,0.0,0.0,1.0,0.5,167,0.0
4031,0.0,0.0,1.0,0.5,168,0.0
4035,0.0,0.0,1.0,0.5,169,0.0
4039,0.0,0.0,1.0,0.5,170,0.0
4090,0.0,-5.224578939412501e-17,1.0,0.5,171,0.0
4091,0.0,-5.224578939412501e-17,1.0,0.5,172,0.0
4092,0.0,-5.224578939412501e-17,1.0,0.5,173,0.0
4093,0.0,-5.224578939412501e-17,1.0,0.5,174,0.0
4094,0.0,-5.224578939412501e-17,1.0,0.5,175,0.0
4095,0.0,-5.224578939412501e-17,1.0,0.5,176,0.0
4096,0.0,-5.224578939412501e-17,1.0,0.5,177,0.0
4097,0.0,-5.224578939412501e-17,1.0,0.5,178,0.0
4101,0.0,-5.224578939412501e-17,1.0,0.5,179,0.0
4102,0.0,-5.224578939412501e-17,1.0,0.5,180,0.0
4103,0.0,-5.224578939412501e-17,1.0,0.5,181,0.0
4104,0.0,0.0,1.0,0.5,182,0.0
4131,0.0,0.0,1.0,0.5,183,0.0
4132,0.0,0.0,1.0,0.5,184,0.0
4201,0.0,-5.224578939412501e-17,1.0,0.5,185,0.0
4202,0.0,-5.224578939412501e-17,1.0,0.5,186,0.0
4203,0.0,-5.224578939412501e-17,1.0,0.5,187,0.0
4204,0.0,-5.224578939412501e-17,1.0,0.5,188,0.0
4231,0.0,0.0,1.0,0.5,189,0.0
4232,0.0,0.0,1.0,0.5,190,0.0
5001,0.0,-5.224578939412501e-17,1.0,0.5,191,0.0
5002,0.0,-5.224578939412501e-17,1.0,0.5,192,0.0
5003,0.0,0.0,1.0,0.5,193,0.0
5004,0.0,0.0,1.0,0.5,194,0.0
5031,0.0,0.0,1.0,0.5,195,0.0
5032,0.0,0.0,1.0,0.5,196,0.0
6101,0.0,-5.224578939412501e-17,1.0,0.5,197,0.0
6102,0.0,-7.401486830834377e-17,1.0,0.5,198,0.0
6103,0.0,-7.401486830834377e-17,1.0,0.5,199,0.0
6104,0.0,0.0,1.0,0.5,200,0.0
6132,0.0,0.0,1.0,0.5,201,0.0
6201,0.0,-5.224578939412501e-17,1.0,0.5,202,0.0
